
========== Fixed Pool ==========
VM ID	TYPE	Price($/year)	Total Allocation Time	Total Incurred Cost($/year)
Total cost for fixed pool in $ per year: 0.0

========== Floating Pool ==========
VM ID	TYPE	Price($/hour)	Total Allocation Time	Total Incurred Cost($)
471	ONDEMAND	0.07	3264	0.07
472	ONDEMAND	0.07	3264	0.07
473	ONDEMAND	0.07	3264	0.07
475	ONDEMAND	0.07	3264	0.07
476	ONDEMAND	0.07	3264	0.07
477	ONDEMAND	0.07	3264	0.07
478	ONDEMAND	0.07	3264	0.07
479	ONDEMAND	0.07	3264	0.07
480	ONDEMAND	0.07	3264	0.07
481	ONDEMAND	0.07	3264	0.07
482	ONDEMAND	0.07	3264	0.07
483	ONDEMAND	0.07	3264	0.07
484	ONDEMAND	0.07	3264	0.07
485	ONDEMAND	0.07	3264	0.07
486	ONDEMAND	0.07	3264	0.07
487	ONDEMAND	0.07	3264	0.07
489	ONDEMAND	0.07	3264	0.07
491	ONDEMAND	0.07	3264	0.07
492	ONDEMAND	0.07	3264	0.07
493	ONDEMAND	0.07	3264	0.07
494	ONDEMAND	0.07	3264	0.07
495	ONDEMAND	0.07	3264	0.07
496	ONDEMAND	0.07	3264	0.07
497	ONDEMAND	0.07	3264	0.07
498	ONDEMAND	0.07	3264	0.07
499	ONDEMAND	0.07	3264	0.07
500	ONDEMAND	0.07	3264	0.07
501	ONDEMAND	0.07	3264	0.07
502	ONDEMAND	0.07	3264	0.07
503	ONDEMAND	0.07	3264	0.07
504	ONDEMAND	0.07	3264	0.07
505	ONDEMAND	0.07	3264	0.07
507	ONDEMAND	0.07	3264	0.07
508	ONDEMAND	0.07	3264	0.07
509	ONDEMAND	0.07	3264	0.07
510	ONDEMAND	0.07	3264	0.07
511	ONDEMAND	0.07	3264	0.07
512	ONDEMAND	0.07	3264	0.07
513	ONDEMAND	0.07	3264	0.07
515	ONDEMAND	0.07	3264	0.07
516	ONDEMAND	0.07	3264	0.07
517	ONDEMAND	0.07	3264	0.07
519	ONDEMAND	0.07	3264	0.07
520	ONDEMAND	0.07	3264	0.07
523	ONDEMAND	0.07	3264	0.07
524	ONDEMAND	0.07	3264	0.07
525	ONDEMAND	0.07	3264	0.07
526	ONDEMAND	0.07	3264	0.07
