
========== OUTPUT ==========
TaskID	JobID	STATUS	DatacenterID	SlotID	Time	Start Time	Finish Time
301	19	MAP	SUCCESS	2	12832	103	1185	1288
304	19	MAP	SUCCESS	2	12837	103	1185	1288
307	19	MAP	SUCCESS	2	12844	103	1185	1288
341	19	MAP	SUCCESS	2	12912	103	1185	1288
349	19	MAP	SUCCESS	2	12928	103	1185	1288
297	19	MAP	SUCCESS	2	12824	104	1185	1289
318	19	MAP	SUCCESS	2	12865	104	1185	1289
332	19	MAP	SUCCESS	2	12893	104	1185	1289
339	19	MAP	SUCCESS	2	12908	104	1185	1289
340	19	MAP	SUCCESS	2	12909	104	1185	1289
352	19	MAP	SUCCESS	2	12933	104	1185	1289
298	19	MAP	SUCCESS	2	12825	105	1185	1290
325	19	MAP	SUCCESS	2	12880	105	1185	1290
342	19	MAP	SUCCESS	2	12913	105	1185	1290
365	20	REDUCE	SUCCESS	2	12814	20	1287	1307
366	20	REDUCE	SUCCESS	2	12815	20	1287	1307
367	20	REDUCE	SUCCESS	2	12818	20	1287	1307
368	20	REDUCE	SUCCESS	2	12819	20	1287	1307
369	20	REDUCE	SUCCESS	2	12822	20	1287	1307
370	20	REDUCE	SUCCESS	2	12823	20	1287	1307
371	21	MAP	SUCCESS	2	12805	103	1214	1317
358	19	REDUCE	SUCCESS	2	12826	31	1290	1321
359	19	REDUCE	SUCCESS	2	12827	31	1290	1321
360	19	REDUCE	SUCCESS	2	12830	31	1290	1321
361	19	REDUCE	SUCCESS	2	12831	31	1290	1321
362	19	REDUCE	SUCCESS	2	12834	31	1290	1321
363	19	REDUCE	SUCCESS	2	12835	31	1290	1321
378	22	MAP	SUCCESS	2	12948	100	1234	1334
372	21	REDUCE	SUCCESS	2	12838	20	1317	1337
373	21	REDUCE	SUCCESS	2	12839	20	1317	1337
374	21	REDUCE	SUCCESS	2	12842	20	1317	1337
375	21	REDUCE	SUCCESS	2	12843	20	1317	1337
376	21	REDUCE	SUCCESS	2	12846	20	1317	1337
377	21	REDUCE	SUCCESS	2	12847	20	1317	1337
379	22	REDUCE	SUCCESS	2	12850	20	1334	1354
380	22	REDUCE	SUCCESS	2	12851	20	1334	1354
381	22	REDUCE	SUCCESS	2	12854	20	1334	1354
382	22	REDUCE	SUCCESS	2	12855	20	1334	1354
383	22	REDUCE	SUCCESS	2	12858	20	1334	1354
384	22	REDUCE	SUCCESS	2	12859	20	1334	1354
399	25	MAP	SUCCESS	2	12949	100	1420	1520
400	25	REDUCE	SUCCESS	2	12862	20	1520	1540
401	25	REDUCE	SUCCESS	2	12863	20	1520	1540
402	25	REDUCE	SUCCESS	2	12866	20	1520	1540
403	25	REDUCE	SUCCESS	2	12867	20	1520	1540
404	25	REDUCE	SUCCESS	2	12870	20	1520	1540
405	25	REDUCE	SUCCESS	2	12871	20	1520	1540
413	27	MAP	SUCCESS	2	12813	101	1496	1597
414	27	REDUCE	SUCCESS	2	12874	20	1597	1617
415	27	REDUCE	SUCCESS	2	12875	20	1597	1617
416	27	REDUCE	SUCCESS	2	12878	20	1597	1617
417	27	REDUCE	SUCCESS	2	12879	20	1597	1617
418	27	REDUCE	SUCCESS	2	12882	20	1597	1617
419	27	REDUCE	SUCCESS	2	12883	20	1597	1617
420	28	MAP	SUCCESS	2	12820	96	1525	1621
421	28	REDUCE	SUCCESS	2	12886	20	1621	1641
422	28	REDUCE	SUCCESS	2	12887	20	1621	1641
423	28	REDUCE	SUCCESS	2	12890	20	1621	1641
424	28	REDUCE	SUCCESS	2	12891	20	1621	1641
425	28	REDUCE	SUCCESS	2	12894	20	1621	1641
426	28	REDUCE	SUCCESS	2	12895	20	1621	1641
427	29	MAP	SUCCESS	2	12833	100	1665	1765
434	30	MAP	SUCCESS	2	12864	101	1669	1770
428	29	REDUCE	SUCCESS	2	12898	20	1765	1785
429	29	REDUCE	SUCCESS	2	12899	20	1765	1785
430	29	REDUCE	SUCCESS	2	12902	20	1765	1785
431	29	REDUCE	SUCCESS	2	12903	20	1765	1785
432	29	REDUCE	SUCCESS	2	12906	20	1765	1785
433	29	REDUCE	SUCCESS	2	12907	20	1765	1785
435	30	REDUCE	SUCCESS	2	12910	20	1770	1790
436	30	REDUCE	SUCCESS	2	12911	20	1770	1790
437	30	REDUCE	SUCCESS	2	12914	20	1770	1790
438	30	REDUCE	SUCCESS	2	12915	20	1770	1790
439	30	REDUCE	SUCCESS	2	12918	20	1770	1790
440	30	REDUCE	SUCCESS	2	12919	20	1770	1790
448	31	MAP	SUCCESS	2	12801	95	1700	1795
450	31	MAP	SUCCESS	2	12841	95	1700	1795
453	31	MAP	SUCCESS	2	12888	97	1700	1797
442	31	MAP	SUCCESS	2	12877	98	1700	1798
449	31	MAP	SUCCESS	2	12808	99	1700	1799
443	31	MAP	SUCCESS	2	12884	100	1700	1800
456	31	MAP	SUCCESS	2	12828	101	1700	1801
441	31	MAP	SUCCESS	2	12876	101	1700	1801
452	31	MAP	SUCCESS	2	12881	101	1700	1801
446	31	MAP	SUCCESS	2	12937	101	1700	1801
447	31	MAP	SUCCESS	2	12940	101	1700	1801
451	31	MAP	SUCCESS	2	12861	102	1700	1802
444	31	MAP	SUCCESS	2	12896	102	1700	1802
455	31	MAP	SUCCESS	2	12809	103	1700	1803
454	31	MAP	SUCCESS	2	12924	103	1700	1803
445	31	MAP	SUCCESS	2	12905	105	1700	1805
463	32	MAP	SUCCESS	2	12840	95	1725	1820
457	31	REDUCE	SUCCESS	2	12922	22	1805	1827
458	31	REDUCE	SUCCESS	2	12923	22	1805	1827
459	31	REDUCE	SUCCESS	2	12926	22	1805	1827
460	31	REDUCE	SUCCESS	2	12927	22	1805	1827
461	31	REDUCE	SUCCESS	2	12930	22	1805	1827
462	31	REDUCE	SUCCESS	2	12931	22	1805	1827
464	32	REDUCE	SUCCESS	2	12934	20	1820	1840
465	32	REDUCE	SUCCESS	2	12935	20	1820	1840
466	32	REDUCE	SUCCESS	2	12938	20	1820	1840
467	32	REDUCE	SUCCESS	2	12939	20	1820	1840
468	32	REDUCE	SUCCESS	2	12942	20	1820	1840
469	32	REDUCE	SUCCESS	2	12943	20	1820	1840
470	33	MAP	SUCCESS	2	12904	98	1746	1844
473	33	REDUCE	SUCCESS	2	12802	20	1844	1864
474	33	REDUCE	SUCCESS	2	12803	20	1844	1864
475	33	REDUCE	SUCCESS	2	12806	20	1844	1864
476	33	REDUCE	SUCCESS	2	12807	20	1844	1864
471	33	REDUCE	SUCCESS	2	12946	20	1844	1864
472	33	REDUCE	SUCCESS	2	12947	20	1844	1864
477	34	MAP	SUCCESS	2	12920	96	1856	1952
478	34	REDUCE	SUCCESS	2	12810	20	1952	1972
479	34	REDUCE	SUCCESS	2	12811	20	1952	1972
482	34	REDUCE	SUCCESS	2	12814	20	1952	1972
483	34	REDUCE	SUCCESS	2	12815	20	1952	1972
480	34	REDUCE	SUCCESS	2	12950	20	1952	1972
481	34	REDUCE	SUCCESS	2	12951	20	1952	1972
512	39	MAP	SUCCESS	2	12932	95	1977	2072
491	36	MAP	SUCCESS	2	12889	99	1975	2074
519	40	MAP	SUCCESS	2	12944	96	1981	2077
484	35	MAP	SUCCESS	2	12868	105	1974	2079
505	38	MAP	SUCCESS	2	12925	103	1976	2079
498	37	MAP	SUCCESS	2	12917	105	1975	2080
513	39	REDUCE	SUCCESS	2	12818	20	2072	2092
514	39	REDUCE	SUCCESS	2	12819	20	2072	2092
515	39	REDUCE	SUCCESS	2	12822	20	2072	2092
516	39	REDUCE	SUCCESS	2	12823	20	2072	2092
517	39	REDUCE	SUCCESS	2	12826	20	2072	2092
518	39	REDUCE	SUCCESS	2	12827	20	2072	2092
492	36	REDUCE	SUCCESS	2	12830	20	2074	2094
493	36	REDUCE	SUCCESS	2	12831	20	2074	2094
494	36	REDUCE	SUCCESS	2	12834	20	2074	2094
495	36	REDUCE	SUCCESS	2	12835	20	2074	2094
496	36	REDUCE	SUCCESS	2	12838	20	2074	2094
497	36	REDUCE	SUCCESS	2	12839	20	2074	2094
520	40	REDUCE	SUCCESS	2	12842	20	2077	2097
521	40	REDUCE	SUCCESS	2	12843	20	2077	2097
522	40	REDUCE	SUCCESS	2	12846	20	2077	2097
523	40	REDUCE	SUCCESS	2	12847	20	2077	2097
524	40	REDUCE	SUCCESS	2	12850	20	2077	2097
525	40	REDUCE	SUCCESS	2	12851	20	2077	2097
485	35	REDUCE	SUCCESS	2	12854	20	2079	2099
486	35	REDUCE	SUCCESS	2	12855	20	2079	2099
487	35	REDUCE	SUCCESS	2	12858	20	2079	2099
488	35	REDUCE	SUCCESS	2	12859	20	2079	2099
489	35	REDUCE	SUCCESS	2	12862	20	2079	2099
490	35	REDUCE	SUCCESS	2	12863	20	2079	2099
506	38	REDUCE	SUCCESS	2	12866	20	2079	2099
507	38	REDUCE	SUCCESS	2	12867	20	2079	2099
508	38	REDUCE	SUCCESS	2	12870	20	2079	2099
509	38	REDUCE	SUCCESS	2	12871	20	2079	2099
510	38	REDUCE	SUCCESS	2	12874	20	2079	2099
